	Unnamed..0	idiom_id	language_id	domain_id	super_domain_name	domain_name	Reference	Left	KWIC	Right	sentence_clean	context_clean	NLP_town_stars_context_window	NLP_town_stars_sentence	Cardiff_NLP_context_window	Cardiff_NLP_sentence
38	b20fr_535	b20fr	fr	b	intertextuality	bible	meretmarine.com	bien des envieux dans l''industrie navale militaire en Europe. </s><s> Enfin et surtout, l''Etat, actionnaire majoritaire,	s''en lave les mains	. </s><s> Seule la rentabilité immédiate de l''entreprise l''intéresse, concrétisée par le versement de dividendes toujours	Enfin et surtout, l''Etat, actionnaire majoritaire, s''en lave les mains .	bien des envieux dans l''industrie navale militaire en Europe.  Enfin et surtout, l''Etat, actionnaire majoritaire, s''en lave les mains .  Seule la rentabilité immédiate de l''entreprise l''intéresse, concrétisée par le versement de dividendes toujours	5	4	-1	-1
30	k04fr_720	k04fr	fr	k	culture	special_concepts_world	ww7.be	seront plus là pour en rendre compte, et d''analyser la situation du moment au microscope (le diable se nichant souvent	dans les détails	). </s><s> Pour cela, la meilleure arme reste une éducation (si possible familiale et en tous cas nationale) de qualité,	seront plus là pour en rendre compte, et d''analyser la situation du moment au microscope (le diable se nichant souvent dans les détails ).	seront plus là pour en rendre compte, et d''analyser la situation du moment au microscope (le diable se nichant souvent dans les détails ).  Pour cela, la meilleure arme reste une éducation (si possible familiale et en tous cas nationale) de qualité,	3	3	0	1
48	s10fr_481	s10fr	fr	s	natural_phenomena	human_body	heavenforum.org	être aimé... </s><s> Cris, souffrance, supplication... </s><s> Ryuu ne peut rien faire, rien, juste assister à la haine de son père,	les mains liés	derrière le dos. </s><s> Les liens trop serrés lui font mal au poignet, les cris violents de douleur de sa mère lui font mal, la vie	être aimé...  Cris, souffrance, supplication...  Ryuu ne peut rien faire, rien, juste assister à la haine de son père, les mains liés derrière le dos.	être aimé...  Cris, souffrance, supplication...  Ryuu ne peut rien faire, rien, juste assister à la haine de son père, les mains liés derrière le dos.  Les liens trop serrés lui font mal au poignet, les cris violents de douleur de sa mère lui font mal, la vie	5	5	-1	-1
2	o04fr_2266	o04fr	fr	o	natural_phenomena	time_space	forumactif.org	est de rester séparés ?! Pourquoi ne pas s''allier ?! Qu''est ce que ça peut te coûter ?! Tu ne veux pas comprendre que c''est	maintenant ou jamais	!! Ensemble, rien que ce mot, ensemble... </s><s> Rien que ça peut détruire Akatsuki... </s><s> Alors s''il te plait, accepte... </s><s> N aruto	Tu ne veux pas comprendre que c''est maintenant ou jamais !!	est de rester séparés ?! Pourquoi ne pas s''allier ?! Qu''est ce que ça peut te coûter ?! Tu ne veux pas comprendre que c''est maintenant ou jamais !! Ensemble, rien que ce mot, ensemble...  Rien que ça peut détruire Akatsuki...  Alors s''il te plait, accepte...  N aruto	1	1	-1	-1
7	s04fr_255	s04fr	fr	s	natural_phenomena	human_body	almossaid.com	à l''équipe nationale d''espérer une toute autre issue à ce match. </s><s> Cette défaite a pour conséquence directe de faire	perdre la tête	de ce groupe aux hommes de Fethi Jamal qui affronteront cette même équipe Rwandaise Samedi, le match se déroulera au	Cette défaite a pour conséquence directe de faire perdre la tête de ce groupe aux hommes de Fethi Jamal qui affronteront cette même équipe Rwandaise Samedi, le match se déroulera au	à l''équipe nationale d''espérer une toute autre issue à ce match.  Cette défaite a pour conséquence directe de faire perdre la tête de ce groupe aux hommes de Fethi Jamal qui affronteront cette même équipe Rwandaise Samedi, le match se déroulera au	3	1	-1	-1
3	n08fr_149	n08fr	fr	n	natural_phenomena	forces_of_nature	journaldumali.com	des ministres d''hier, le chef de l''Etat a purement et simplement limogé les DAF de ses départements ministériels. </s><s>	Comme un coup de tonnerre	, cette décision du Chef de l''Etat paraissait comme une évidence. </s><s> Considérés comme les deuxièmes personnalités après	Comme un coup de tonnerre , cette décision du Chef de l''Etat paraissait comme une évidence.	des ministres d''hier, le chef de l''Etat a purement et simplement limogé les DAF de ses départements ministériels.  Comme un coup de tonnerre , cette décision du Chef de l''Etat paraissait comme une évidence.  Considérés comme les deuxièmes personnalités après	1	1	-1	-1
42	n18fr_234	n18fr	fr	n	natural_phenomena	forces_of_nature	forumsbebearrive.com	! </s><s> De manière générale, ce qui m''a aidée à tenir jusqu''ici, outre l''immense satisfaction de voir ma petite pousser	comme un champignon	et éclater de santé et de joie de vivre, ça a été de me dire, à chaque moment plus pénible (poussée dentaire, coliques, pic	De manière générale, ce qui m''a aidée à tenir jusqu''ici, outre l''immense satisfaction de voir ma petite pousser comme un champignon et éclater de santé et de joie de vivre, ça a été de me dire, à chaque moment plus pénible (poussée dentaire, coliques, pic	!  De manière générale, ce qui m''a aidée à tenir jusqu''ici, outre l''immense satisfaction de voir ma petite pousser comme un champignon et éclater de santé et de joie de vivre, ça a été de me dire, à chaque moment plus pénible (poussée dentaire, coliques, pic	4	5	1	1
6	f14fr_83	f14fr	fr	f	intertextuality	fables_folk_narratives	forumactif.org	tous et n''importe qui pouvait être accusé de vouloir empoisonner son voisin. </s><s> Chercher le coupable revenait à chercher	une aiguille dans une botte de foin	!* </s><s> -Je comprends là votre allusion Sire ... Il y a des secrets bien gardés mais ici tout finit par se savoir un jour ou l''	Chercher le coupable revenait à chercher une aiguille dans une botte de foin !	tous et n''importe qui pouvait être accusé de vouloir empoisonner son voisin.  Chercher le coupable revenait à chercher une aiguille dans une botte de foin !*  -Je comprends là votre allusion Sire ... Il y a des secrets bien gardés mais ici tout finit par se savoir un jour ou l''	1	1	-1	-1
39	r03fr_9092	r03fr	fr	r	natural_phenomena	physical_reactions_sensations	discutforum.com	. </s><s> C''était tout juste s''il écoutait en classe. </s><s> Ses facilité et sa grande intelligence lui permettait de comprendre tout	en un clin d''œil	, seulement en lisant un livre ou en regardant un schéma. </s><s> Il comprenait très bien que certain élèves s''ennuient au lycée	Ses facilité et sa grande intelligence lui permettait de comprendre tout en un clin d''œil , seulement en lisant un livre ou en regardant un schéma.	.  C''était tout juste s''il écoutait en classe.  Ses facilité et sa grande intelligence lui permettait de comprendre tout en un clin d''œil , seulement en lisant un livre ou en regardant un schéma.  Il comprenait très bien que certain élèves s''ennuient au lycée	4	4	1	1
33	c25fr_575	c25fr	fr	c	intertextuality	ancient_sources	unblog.fr	l''unanimité pour ouvrir les portes de l''église. </s><s> Cela représentait plusieurs milliers de personnes qui l''ont occupée	jour et nuit	, de manière pacifique. </s><s> À partir de ce moment, et jusqu''à la chute du mur, les évènements se sont enchaînés, selon une	Cela représentait plusieurs milliers de personnes qui l''ont occupée jour et nuit , de manière pacifique.	l''unanimité pour ouvrir les portes de l''église.  Cela représentait plusieurs milliers de personnes qui l''ont occupée jour et nuit , de manière pacifique.  À partir de ce moment, et jusqu''à la chute du mur, les évènements se sont enchaînés, selon une	5	4	-1	-1
49	m20fr_2662	m20fr	fr	m	culture	material_culture_money_living	wordpress.com	la prairie en sautant et en grimpant le tire-bouchon qui s''enfonce dans la terre " Et c''est à ce moment là qu''on a perdu	le fil de	cette phrase improbable. </s><s> Et comme on adore le bus, une fois arrivées à Bangkok à l''aube, on en prend un autre pour le	la prairie en sautant et en grimpant le tire-bouchon qui s''enfonce dans la terre " Et c''est à ce moment là qu''on a perdu le fil de cette phrase improbable.	la prairie en sautant et en grimpant le tire-bouchon qui s''enfonce dans la terre " Et c''est à ce moment là qu''on a perdu le fil de cette phrase improbable.  Et comme on adore le bus, une fois arrivées à Bangkok à l''aube, on en prend un autre pour le	1	5	-1	-1
25	s10fr_1021	s10fr	fr	s	natural_phenomena	human_body	mediterranee-antique.info	l''une d''elles, les Égyptiens s''emparent de Jérusalem et emmènent son roi, que nous voyons représenté sur tin monument	les mains liées	derrière le dos. </s><s> Mais l''Égypte ne lutte pas plus loin que la Syrie et la Palestine l''Assyrie, alors toute-puissante,	l''une d''elles, les Égyptiens s''emparent de Jérusalem et emmènent son roi, que nous voyons représenté sur tin monument les mains liées derrière le dos.	l''une d''elles, les Égyptiens s''emparent de Jérusalem et emmènent son roi, que nous voyons représenté sur tin monument les mains liées derrière le dos.  Mais l''Égypte ne lutte pas plus loin que la Syrie et la Palestine l''Assyrie, alors toute-puissante,	3	3	1	-1
24	f27fr_1585	f27fr	fr	f	intertextuality	fables_folk_narratives	i-gloo.net	sais, qu''avec son montant, tout en se tenant dans les bras et se faisant un calin, avec son menton, elle sent que je verse	une larme de crocodile	, elle ne dit rien, mais je ressens tout. </s><s> On finit par ne plus céder à la tentation, et on s''embrasse, je sais qu''on est bien	sais, qu''avec son montant, tout en se tenant dans les bras et se faisant un calin, avec son menton, elle sent que je verse une larme de crocodile , elle ne dit rien, mais je ressens tout.	sais, qu''avec son montant, tout en se tenant dans les bras et se faisant un calin, avec son menton, elle sent que je verse une larme de crocodile , elle ne dit rien, mais je ressens tout.  On finit par ne plus céder à la tentation, et on s''embrasse, je sais qu''on est bien	2	3	-1	1
19	n08fr_473	n08fr	fr	n	natural_phenomena	forces_of_nature	over-blog.com	recouverte de résille qui cache complètement sa chevelure. </s><s> Là je ne peux me retenir, mon rire éclate et se disperse	comme un coup de tonnerre	, ce qui a pour effet immédiat de stopper les arbalétriers dans une pose un peu ridicule. </s><s> Quand à mon apparition, elle a	Là je ne peux me retenir, mon rire éclate et se disperse comme un coup de tonnerre , ce qui a pour effet immédiat de stopper les arbalétriers dans une pose un peu ridicule.	recouverte de résille qui cache complètement sa chevelure.  Là je ne peux me retenir, mon rire éclate et se disperse comme un coup de tonnerre , ce qui a pour effet immédiat de stopper les arbalétriers dans une pose un peu ridicule.  Quand à mon apparition, elle a	2	2	-1	-1
4	o11fr_1143	o11fr	fr	o	natural_phenomena	time_space	fr.	, ils inventent aussi une nouvelle déontologie. </s><s> Les groupes de presse sont comme les maisons de disques, leurs	jours sont comptés	... </s><s> L''affaire DSK, c''est leur chant du cygne. </s><s> Rectification Mme Arnaud. </s><s> Monsieur Woerth doit plus à la perte de son	Les groupes de presse sont comme les maisons de disques, leurs jours sont comptés ...  L''affaire DSK, c''est leur chant du cygne.	, ils inventent aussi une nouvelle déontologie.  Les groupes de presse sont comme les maisons de disques, leurs jours sont comptés ...  L''affaire DSK, c''est leur chant du cygne.  Rectification Mme Arnaud.  Monsieur Woerth doit plus à la perte de son	1	1	-1	-1
1	k10fr_7922	k10fr	fr	k	culture	special_concepts_world	winnerbb.net	. </s><s> "On n''a pas dit notre dernier mot" insistait Vettel au soir de sa déception de Singapour. </s><s> Pénalités décisives </s><s>	Ironie du sort	, il a manqué... un demi-point à l''équipe Brawn – ex-Honda, rebaptisée du nom de son directeur technique l''hiver	Pénalités décisives  Ironie du sort , il a manqué... un demi-point à l''équipe Brawn – ex-Honda, rebaptisée du nom de son directeur technique l''hiver	.  "On n''a pas dit notre dernier mot" insistait Vettel au soir de sa déception de Singapour.  Pénalités décisives  Ironie du sort , il a manqué... un demi-point à l''équipe Brawn – ex-Honda, rebaptisée du nom de son directeur technique l''hiver	1	1	-1	-1
22	r08fr_1152	r08fr	fr	r	natural_phenomena	physical_reactions_sensations	bebe-passion.be	qu''il ne se remette jamais en cause quand même, il a pas peur de te perdre?? </s><s> Il te dit des trucs dingue quand même, tu as pas	les pieds sur terre	car tu veux une vie normale?? ben l''est bizarre lui plutot!! </s><s> C super pr Louis il va bientôt gambader tu vas voir ça change	Il te dit des trucs dingue quand même, tu as pas les pieds sur terre car tu veux une vie normale??	qu''il ne se remette jamais en cause quand même, il a pas peur de te perdre??  Il te dit des trucs dingue quand même, tu as pas les pieds sur terre car tu veux une vie normale?? ben l''est bizarre lui plutot!!  C super pr Louis il va bientôt gambader tu vas voir ça change	2	3	-1	-1
29	o13fr_66	o13fr	fr	o	natural_phenomena	time_space	blogouvert.com	affaires, il pourrait fournir aux employés beaucoup de joie couplé avec optimisme électriques .. Pour commencer actu	notre propre chemin	en ce qui concerne sa vie comme une alternative à rester pré-occupé par l''absence de fonds concernant le succès. </s><s> Cette	affaires, il pourrait fournir aux employés beaucoup de joie couplé avec optimisme électriques .. Pour commencer actu notre propre chemin en ce qui concerne sa vie comme une alternative à rester pré-occupé par l''absence de fonds concernant le succès.	affaires, il pourrait fournir aux employés beaucoup de joie couplé avec optimisme électriques .. Pour commencer actu notre propre chemin en ce qui concerne sa vie comme une alternative à rester pré-occupé par l''absence de fonds concernant le succès.  Cette	3	3	1	1
15	i18fr_3136	i18fr	fr	i	culture	intellectual_technical_achievements	stereopoly.com	à cinq reprises. </s><s> Des atouts suffisants pour stopper la lancée des Caennais ? </s><s> Faut croire qu''on était pas vraiment	sur la même longueur d''ondes	, on a juste arrêter de s''entendre alors j''ai préférer en rester là ! Mais sinon, mes enfants s''appellent Nathan & Samuel	Faut croire qu''on était pas vraiment sur la même longueur d''ondes , on a juste arrêter de s''entendre alors j''ai préférer en rester là !	à cinq reprises.  Des atouts suffisants pour stopper la lancée des Caennais ?  Faut croire qu''on était pas vraiment sur la même longueur d''ondes , on a juste arrêter de s''entendre alors j''ai préférer en rester là ! Mais sinon, mes enfants s''appellent Nathan & Samuel	2	2	-1	-1
45	f08fr_17	f08fr	fr	f	intertextuality	fables_folk_narratives	free.fr	la terreur et la peur. </s><s> Lorsque nous refusons le terrorisme et le condamnons, nous désapprouvons ceux qui pêchent	en eau trouble	, qui altèrent les valeurs de la religion, et qui se servent de la vague de terrorisme afin d''attaquer les bases de la	Lorsque nous refusons le terrorisme et le condamnons, nous désapprouvons ceux qui pêchent en eau trouble , qui altèrent les valeurs de la religion, et qui se servent de la vague de terrorisme afin d''attaquer les bases de la	la terreur et la peur.  Lorsque nous refusons le terrorisme et le condamnons, nous désapprouvons ceux qui pêchent en eau trouble , qui altèrent les valeurs de la religion, et qui se servent de la vague de terrorisme afin d''attaquer les bases de la	1	5	-1	-1
32	p10fr_166	p10fr	fr	p	culture	gestures_postures_facial_expressions	aubance.net	arrivent dans une cave, comme celle des Biotteau, au Domaine d''Avrillé à Saint Jean des Mauvrets, ils sont accueillis	à bras ouverts	. </s><s> Car au-delà d''avoir écrit une chanson à la gloire de ceux qui font le vin, ils se sont surtout érigés en porte étendard d''	arrivent dans une cave, comme celle des Biotteau, au Domaine d''Avrillé à Saint Jean des Mauvrets, ils sont accueillis à bras ouverts .	arrivent dans une cave, comme celle des Biotteau, au Domaine d''Avrillé à Saint Jean des Mauvrets, ils sont accueillis à bras ouverts .  Car au-delà d''avoir écrit une chanson à la gloire de ceux qui font le vin, ils se sont surtout érigés en porte étendard d''	4	4	1	1
5	r17fr_3232	r17fr	fr	r	natural_phenomena	physical_reactions_sensations	mon-waka.fr	n''a eu droit à aucune aide et a du travailler pour pouvoir manger. </s><s> C''est pas une carte musique à 50 euros qui va lui mettre	du baume au coeur	! Un abonnement internet coute moins cher et permet beaucoup plus de choses qu''une carte musique, tant pour les	C''est pas une carte musique à 50 euros qui va lui mettre du baume au coeur !	n''a eu droit à aucune aide et a du travailler pour pouvoir manger.  C''est pas une carte musique à 50 euros qui va lui mettre du baume au coeur ! Un abonnement internet coute moins cher et permet beaucoup plus de choses qu''une carte musique, tant pour les	1	1	-1	-1
23	i18fr_1495	i18fr	fr	i	culture	intellectual_technical_achievements	pinkproject.fr	n''est pas d''avoir un effectif influent mais plutôt d''avoir des femmes qui véhiculent des valeurs communes et qui sont	sur la même longueur d''onde	. </s><s> Petit zoom sur l''effectif officiel KFR Arkange (alias Stéphanie): La pipelette du groupe qui ne cesse d''exposer ses	n''est pas d''avoir un effectif influent mais plutôt d''avoir des femmes qui véhiculent des valeurs communes et qui sont sur la même longueur d''onde .	n''est pas d''avoir un effectif influent mais plutôt d''avoir des femmes qui véhiculent des valeurs communes et qui sont sur la même longueur d''onde .  Petit zoom sur l''effectif officiel KFR Arkange (alias Stéphanie): La pipelette du groupe qui ne cesse d''exposer ses	3	3	1	1
10	e10fr_1938	e10fr	fr	e	intertextuality	proverbs	cyberpresse.ca	il y a les gentils du Hamas d''un côté... et de l''autre, plein de méchants américains, occidentaux et israeliens armés	jusqu''au dents	et prêt pour le génocide du siècle. </s><s> Pfff... </s><s> Aucune discussion ne les fera changer d''avis. </s><s> Il faut détruire l''occident	il y a les gentils du Hamas d''un côté... et de l''autre, plein de méchants américains, occidentaux et israeliens armés jusqu''au dents et prêt pour le génocide du siècle.	il y a les gentils du Hamas d''un côté... et de l''autre, plein de méchants américains, occidentaux et israeliens armés jusqu''au dents et prêt pour le génocide du siècle.  Pfff...  Aucune discussion ne les fera changer d''avis.  Il faut détruire l''occident	2	1	-1	-1
20	e17fr_159	e17fr	fr	e	intertextuality	proverbs	blogspirit.com	?" Et moi, plein de confusion, j''ai répondu que non. </s><s> En effet, je l''avais entendu lire à l''Eglise et c''était entré	par une oreille	et sorti par l''autre. </s><s> Alors ce garçon m''a lu le Sermon sur la montagne avec un accent si pénétrant, si personnel, si	En effet, je l''avais entendu lire à l''Eglise et c''était entré par une oreille et sorti par l''autre.	?" Et moi, plein de confusion, j''ai répondu que non.  En effet, je l''avais entendu lire à l''Eglise et c''était entré par une oreille et sorti par l''autre.  Alors ce garçon m''a lu le Sermon sur la montagne avec un accent si pénétrant, si personnel, si	2	2	0	-1
46	n08fr_813	n08fr	fr	n	natural_phenomena	forces_of_nature	erf-est.org	que dans leur format. </s><s> Est-ce ce combat qui incite à (...) </s><s> Les prédictions du pasteur Malthus (1766-1834) résonnent	comme un coup de tonnerre dans le ciel serein	de l''optimisme des Lumières. </s><s> Ce XVIIIe siècle est celui de la recherche du bonheur. </s><s> Malthus, professeur à Cambridge, a	Est-ce ce combat qui incite à (...)  Les prédictions du pasteur Malthus (1766-1834) résonnent comme un coup de tonnerre dans le ciel serein de l''optimisme des Lumières.	que dans leur format.  Est-ce ce combat qui incite à (...)  Les prédictions du pasteur Malthus (1766-1834) résonnent comme un coup de tonnerre dans le ciel serein de l''optimisme des Lumières.  Ce XVIIIe siècle est celui de la recherche du bonheur.  Malthus, professeur à Cambridge, a	5	5	1	1
41	k21fr_978	k21fr	fr	k	culture	special_concepts_world	inrap.fr	jusqu''aux cathédrales, et des arènes romaines aux châteaux forts. </s><s> Chaque génération, depuis 100 000 ans, a creusé	ses tombes	et, depuis 7 500 ans, travaillé le sol, modelé le paysage, tracé des chemins. </s><s> De cette très longue histoire, nous sommes	Chaque génération, depuis 100 000 ans, a creusé ses tombes et, depuis 7 500 ans, travaillé le sol, modelé le paysage, tracé des chemins.	jusqu''aux cathédrales, et des arènes romaines aux châteaux forts.  Chaque génération, depuis 100 000 ans, a creusé ses tombes et, depuis 7 500 ans, travaillé le sol, modelé le paysage, tracé des chemins.  De cette très longue histoire, nous sommes	5	5	1	1
