	Unnamed..0	sentence	Rating	Figurative	Comments
16	p10ge_1989	Aber rechne nicht damit, dass ich, dass WIR dich mit offenen Armen empfangen , wenn der Kerl wieder genug von dir hat!	2	n	
17	m20ge_7205	Leider verlor er danach den Faden und stellte zunächst einen Bauern, dann einen Läufer und schließlich noch einen Turm ein, sodass auch diese Partie	2	n	
18	n03ge_421	Die halten auch einen Ohnmächtigen in Rückenlage und den Kopf über Wasser .  "	2	n	
19	s10ge_6668	jedoch in das Resort der DTAG fällt (denn nur diese hat den Zugang zur "Letzten Meile") sind HanseNet in diesem Fall die Hände gebunden .	2	n	
20	i05ge_764	Man kann sie an einer Hand abzählen .	2	n	
21	k23ge_2140	Bei Dingen, für die sich deine Großmutter, wenn sie davon wüsste, im Grab umdrehen würde?	2	n	
22	k21ge_802	Im Prinzip schaufelt sie sich ihr eigenes Grab und das mit einem großen Spaten.	1	n	
23	i16ge_6451	Das Bildungsministerium hat Ende Oktober grünes Licht für die erste neue Schule dieser Art im Lande gegeben : Zum August 2008 schließen sich die Realschule in	4	n	
24	s03ge_2250	Die ganze Nebenhandlung mit dem Baby und der Hochzeit und der Stripperin (die direkte Verwandte der Nutte mit dem goldenen Herzen ), ist per se nicht wirklich witzig und walzt auch eine Throw-Away-Gag in die Unendlichkeit.	2	n	
25	b20ge_463	Ich für mein Teil erkläre euch, ich wasche meine Hände in Unschuld , und wenn daraus ein Unglück entsteht, so ist es nicht meine Schuld.  "	3	n	
26	c14ge_332	Die beiden Frauen raufen sich derweil die Haare , denn es hat ganz den Anschein, als gebe Rebell den Kleinen Tipps aus seinem reichen Erfahrungsschatz ''" in Sachen	2	n	
27	b03ge_894	6 Der Landmann, der im Schweiße seines Angesichts den Acker bebaut, hat das erste Anrecht auf die Früchte des Ackers.	3	n	
28	s12ge_8739	'Der Stern von Bethlehem muss also mit bloßem Auge sichtbar gewesen sein'', sagt Kraupe.	3	n	
29	k10ge_725	Und Ironie des Schicksals : Es trifft ein Telegramm vom Tode seiner Mutter ein.	1		cant say
30	c14ge_448	Raufen Sie sich frustriert die Haare , weil Sie immer wieder scheitern, wenn Sie versuchen, ein paar Pfunde loszuwerden?	2	n	
31	c25geb_405	woraus der Mensch das Wilde, Bedrohende der Natur zu verbannen sucht, dieses Gegenspiel von Tiefe und Oberfläche, von Nacht und Tag , ist es sicherlich, was zu gestalten den Dichter verlockt hat.	3	n	
32	r18ge_2107	Alles gut, alles perfekt '' zu schön um wahr zu sein .	5	n	
33	i16ge_4162	Ja dann wäre es denkbar dass grünes Licht für die Türken gegeben wird und der Nahe Osten seine letzte Schlacht bekommt, wie es von den Apokalyptikern gewünscht	1	n	
34	i05ge_2248	gewinnen, ... wenn das mal kein Anreiz ist,  aber wie schon erwähnt, die langstreckler hier im Forum kann manN wohl an einer Hand abzählen und deswegen wird es wohl keine Trainings Gruppe hier im Forum geben, obwohl wenn der chefe ( Habanero )als	3	n	
35	i01ge_5195	eben ganz schnell :-) Aber ernsthaft jetzt, ruf deinen FA am Mittwoch an und lass dir einen Termin geben, dann hast du es schwarz auf weiß und dann kannst du mit deinem freund darüber reden!	3	n	
36	k04ge_3163	Doch der Teufel steckt im Detail .	2	n	
37	m21ge_481	Ich würde das anders formulieren, denn das ist ja eigentlich ein Vergleich, also "Er redete wie gegen eine Wand .  "	2	n	
38	r18ge_2314	300 Mails kostenlos versenden, das klingt einfach zu schön um wahr zu sein .	2	n	
39	k13ge_1587	Heute morgen scheint Ronnie O''Sullivan einen schwarzen Tag erwischt zu haben – alle vier Frames vor dem Midsession Interval (einer Pause nach 4 von 8 Frames einer Session) gingen	2	n	
40	b08ge_3269	Sie sind sich sicher, dass "mehr Druck auf die schwarzen Schafe der Branche" ausgeübt werden muss.	2	n	
41	k20ge_1044	unabwendbaren Schicksal überlassen, aber gleichzeitig sorgen wir mit all unserer Macht dafür, dass sie ihr Leben bis zum letzten Atemzug genießen können!	3	n	
42	a20ge_1046	Gießt nicht noch mehr Öl ins Feuer .	1	n	
43	n03ge_362	zentral platzierte Armloch bietet den Vorteil, dass selbst Säuglinge mühelos ihre Arme und damit automatisch auch den Kopf über Wasser halten .	3	n	
44	m04ge_1521	Hier helfe die Philosophie, da sie Gehalte des Lebens schaffe, die nicht um jeden Preis "von anderen bestätigt" werden müssen.	4	n	
45	s03ge_5	Ein ganz besonderes Herz aus Gold von Mom2moM gibt bei Nelly.	4	n	
46	m08ge_685	Dieses Buch ist eine Goldgrube praktischen Wissens, das den Leser immer wieder zu neuen Erkenntnissen führen wird.	5	n	
47	b03ge_1072	, die uns der real existierende Sozialismus hinterlassen hat, zeigen den muskelbepackten Arbeiter und Bauern im Schweiße seines Angesichts im Stoffwechsel mit der Natur.	2	n	
48	f14ge_1146	Kinder können außerdem bei der Arbeitsgemeinschaft Urlaub & Freizeit auf dem Lande die Nadel im Heuhaufen suchen , alte Landmaschinen testen oder bei der Firma Zugvogel das Bogenschießen ausprobieren.	3	n	
49	b29ge_5564	Das Internet kann hierbei ein effektives Instrument sein, um die Spreu vom Weizen zu trennen .	4	n	
50	s04ge_665	Wie kann es sein, dass ich mit all meinen Erfahrungen im Leben, und derer sind es einige, so den Kopf verliere ?	2		
