"","Unnamed..0","idiom_id","language_id","domain_id","super_domain_name","domain_name","Reference","Left","KWIC","Right","sentence_clean","context_clean","NLP_town_stars_context_window","NLP_town_stars_sentence","Cardiff_NLP_context_window","Cardiff_NLP_sentence"
"11","k10ge_750","k10ge","ge","k","culture","special_concepts_world","stadt-bremerhaven.de","größeren Benutzerkreis durchführen. </s><s> Diese Betaversion soll noch heute für interessierte Benutzer zu haben sein. </s><s>","Ironie des Schicksals",": anstatt die Betaversion kompliziert als APK-Datei an Facebook-Benutzer zu verteilen, geht man den offiziellen Weg","Ironie des Schicksals : anstatt die Betaversion kompliziert als APK-Datei an Facebook-Benutzer zu verteilen, geht man den offiziellen Weg","größeren Benutzerkreis durchführen.  Diese Betaversion soll noch heute für interessierte Benutzer zu haben sein.  Ironie des Schicksals : anstatt die Betaversion kompliziert als APK-Datei an Facebook-Benutzer zu verteilen, geht man den offiziellen Weg",1,2,-1,-1
"12","e21ge_1711","e21ge","ge","e","intertextuality","proverbs","familien-aktuell.de","einen Zimmer- oder Wohnungsbrand werden zu lassen. </s><s> Oft werden die Kinder mit einem strikten Verbot belegt:","Mit dem Feuer","zu spielen ist tabu! </s><s> Leider lässt sich damit das Risiko nicht aus der Welt schaffen, denn die Faszination des Feuers ist","Oft werden die Kinder mit einem strikten Verbot belegt: Mit dem Feuer zu spielen ist tabu!","einen Zimmer- oder Wohnungsbrand werden zu lassen.  Oft werden die Kinder mit einem strikten Verbot belegt: Mit dem Feuer zu spielen ist tabu!  Leider lässt sich damit das Risiko nicht aus der Welt schaffen, denn die Faszination des Feuers ist",1,2,-1,-1
"13","o11ge_3391","o11ge","ge","o","natural_phenomena","time_space","spd-nordfriesland.de","Peddinghaus ""nach Kiel"" gewählt werden hat das für den Kreis einen enormen Nachteil. </s><s> Bogislav-Tessen von Gerlach ́s","Tage sind gezählt","und es wird ein Landrat benötigt, der den Stall im Kreishaus mal endlich aufräumt. </s><s> SChon 2005 stand in der Zeitung, daß","Bogislav-Tessen von Gerlach ́s Tage sind gezählt und es wird ein Landrat benötigt, der den Stall im Kreishaus mal endlich aufräumt.","Peddinghaus ""nach Kiel"" gewählt werden hat das für den Kreis einen enormen Nachteil.  Bogislav-Tessen von Gerlach ́s Tage sind gezählt und es wird ein Landrat benötigt, der den Stall im Kreishaus mal endlich aufräumt.  SChon 2005 stand in der Zeitung, daß",5,2,-1,-1
"14","m08ge_717","m08ge","ge","m","culture","material_culture_money_living","dominablog.de",". </s><s> Sogar zu SM und Schwangerschaft hat er etwas geschrieben, und zur psychologischen Seite einer Trennung. </s><s> Der Mann ist","eine wahre Goldgrube",". </s><s> Fast habe ich ein schlechtes Gewissen, seine mühsame, umfassende Arbeit so schamlos auszunutzen. </s><s> Ich muss","Der Mann ist eine wahre Goldgrube .",".  Sogar zu SM und Schwangerschaft hat er etwas geschrieben, und zur psychologischen Seite einer Trennung.  Der Mann ist eine wahre Goldgrube .  Fast habe ich ein schlechtes Gewissen, seine mühsame, umfassende Arbeit so schamlos auszunutzen.  Ich muss",5,2,1,-1
"15","r01ge_749","r01ge","ge","r","natural_phenomena","physical_reactions_sensations","journal21.ch","und breiten, dass die reichen Staaten zu wenig Finanzhilfe für die Flüchtlinge leisteten. </s><s> Deshalb müsse das UNHCR","den Gürtel enger","schnallen . </s><s> Vor laufender Kamera sagte jetzt Kohlschütter, es gebe Gerüchte, wonach Hocké erste Klasse fliege. </s><s> ""Das","Deshalb müsse das UNHCR den Gürtel enger schnallen .","und breiten, dass die reichen Staaten zu wenig Finanzhilfe für die Flüchtlinge leisteten.  Deshalb müsse das UNHCR den Gürtel enger schnallen .  Vor laufender Kamera sagte jetzt Kohlschütter, es gebe Gerüchte, wonach Hocké erste Klasse fliege.  ""Das",3,2,-1,-1
"16","p10ge_1989","p10ge","ge","p","culture","gestures_postures_facial_expressions","nickstories.de","! </s><s> Das kann ich dir wohl nicht bieten, das musst du dir woanders suchen. </s><s> Aber rechne nicht damit, dass ich, dass WIR dich","mit offenen Armen","empfangen , wenn der Kerl wieder genug von dir hat! </s><s> Verdammt, nicht mit mir! </s><s> "" </s><s> Es kracht und das Nächste, was ich sehe, ist","Aber rechne nicht damit, dass ich, dass WIR dich mit offenen Armen empfangen , wenn der Kerl wieder genug von dir hat!","!  Das kann ich dir wohl nicht bieten, das musst du dir woanders suchen.  Aber rechne nicht damit, dass ich, dass WIR dich mit offenen Armen empfangen , wenn der Kerl wieder genug von dir hat!  Verdammt, nicht mit mir!  ""  Es kracht und das Nächste, was ich sehe, ist",3,2,1,0
"17","m20ge_7205","m20ge","ge","m","culture","material_culture_money_living","schachclub-juenkerath.de","musste. </s><s> Bastian Bischof kam an Brett 7 gut aus der Eröffnung heraus und gewann einen Bauern. </s><s> Leider verlor er danach","den Faden","und stellte zunächst einen Bauern, dann einen Läufer und schließlich noch einen Turm ein, sodass auch diese Partie","Leider verlor er danach den Faden und stellte zunächst einen Bauern, dann einen Läufer und schließlich noch einen Turm ein, sodass auch diese Partie","musste.  Bastian Bischof kam an Brett 7 gut aus der Eröffnung heraus und gewann einen Bauern.  Leider verlor er danach den Faden und stellte zunächst einen Bauern, dann einen Läufer und schließlich noch einen Turm ein, sodass auch diese Partie",2,2,-1,-1
"18","n03ge_421","n03ge","ge","n","natural_phenomena","forces_of_nature","rp-online.de","heraus, wenn wir sie nicht gerade selber brauchen. </s><s> Die halten auch einen Ohnmächtigen in Rückenlage und","den Kopf über Wasser",". </s><s> "" Wolfgang Neuhaus empfiehlt derzeit aber auch nicht, mit Rettungsweste in die Bever zu steigen. </s><s> Denn das Wasser sei","Die halten auch einen Ohnmächtigen in Rückenlage und den Kopf über Wasser .  ""","heraus, wenn wir sie nicht gerade selber brauchen.  Die halten auch einen Ohnmächtigen in Rückenlage und den Kopf über Wasser .  "" Wolfgang Neuhaus empfiehlt derzeit aber auch nicht, mit Rettungsweste in die Bever zu steigen.  Denn das Wasser sei",5,2,0,-1
"19","s10ge_6668","s10ge","ge","s","natural_phenomena","human_body","doktor-dsl.de","jedoch in das Resort der DTAG fällt (denn nur diese hat den Zugang zur ""Letzten Meile"") sind HanseNet in diesem Fall","die Hände gebunden",". </s> <gap/> <s> Doof nur, dass die RegTP extra dafür eine Regelung hat: Carrier-Express-Entstörung. </s><s> Kostet die Hansenet 72,","jedoch in das Resort der DTAG fällt (denn nur diese hat den Zugang zur ""Letzten Meile"") sind HanseNet in diesem Fall die Hände gebunden .","jedoch in das Resort der DTAG fällt (denn nur diese hat den Zugang zur ""Letzten Meile"") sind HanseNet in diesem Fall die Hände gebunden .    Doof nur, dass die RegTP extra dafür eine Regelung hat: Carrier-Express-Entstörung.  Kostet die Hansenet 72,",3,2,-1,-1
"20","i05ge_764","i05ge","ge","i","culture","intellectual_technical_achievements","blog-cj.de","Mobil-Strategie und macht zugleich noch ein gutes Online-Angebot? </s><s> Kurz: Wer macht mehr als Recycling? </s><s> Man kann sie","an einer Hand","abzählen . </s><s> Dieses Festhalten am Papier als einzig wahre Alternative ist schlichtweg nicht zukunfsträchtig. </s><s> Di","Man kann sie an einer Hand abzählen .","Mobil-Strategie und macht zugleich noch ein gutes Online-Angebot?  Kurz: Wer macht mehr als Recycling?  Man kann sie an einer Hand abzählen .  Dieses Festhalten am Papier als einzig wahre Alternative ist schlichtweg nicht zukunfsträchtig.  Di",4,2,0,-1
"21","k23ge_2140","k23ge","ge","k","culture","special_concepts_world","playground.de","dich schon verführen lassen? </s><s> Warst du auch dabei? </s><s> Bei Dingen, für die sich deine Großmutter, wenn sie davon wüsste, im","Grab","umdrehen würde? </s><s> ""Gerade das Kryptische, das Geheime, das Verzauberte ist es doch, was uns anzieht"", sagt","Bei Dingen, für die sich deine Großmutter, wenn sie davon wüsste, im Grab umdrehen würde?","dich schon verführen lassen?  Warst du auch dabei?  Bei Dingen, für die sich deine Großmutter, wenn sie davon wüsste, im Grab umdrehen würde?  ""Gerade das Kryptische, das Geheime, das Verzauberte ist es doch, was uns anzieht"", sagt",3,3,0,0
"22","k21ge_802","k21ge","ge","k","culture","special_concepts_world","digidiary.de","schlagen die Hände über den Kopf zusammen, was sie sich alles für Schnitzer erlaubt. </s><s> Im Prinzip schaufelt sie sich ihr","eigenes Grab","und das mit einem großen Spaten. </s><s> Nur scheinen wir zu blöd zu sein das auszunutzen, wobei es mir auch nicht darum geht","Im Prinzip schaufelt sie sich ihr eigenes Grab und das mit einem großen Spaten.","schlagen die Hände über den Kopf zusammen, was sie sich alles für Schnitzer erlaubt.  Im Prinzip schaufelt sie sich ihr eigenes Grab und das mit einem großen Spaten.  Nur scheinen wir zu blöd zu sein das auszunutzen, wobei es mir auch nicht darum geht",3,3,-1,-1
"23","i16ge_6451","i16ge","ge","i","culture","intellectual_technical_achievements","ltsh.de","Antrag können Regionalschulen auch früher als vorgeschrieben entstehen. </s><s> Das Bildungsministerium hat Ende Oktober","grünes Licht","für die erste neue Schule dieser Art im Lande gegeben : Zum August 2008 schließen sich die Realschule in","Das Bildungsministerium hat Ende Oktober grünes Licht für die erste neue Schule dieser Art im Lande gegeben : Zum August 2008 schließen sich die Realschule in","Antrag können Regionalschulen auch früher als vorgeschrieben entstehen.  Das Bildungsministerium hat Ende Oktober grünes Licht für die erste neue Schule dieser Art im Lande gegeben : Zum August 2008 schließen sich die Realschule in",1,3,0,0
"24","s03ge_2250","s03ge","ge","s","natural_phenomena","human_body","fuenf-filmfreunde.de",". </s><s> Die ganze Nebenhandlung mit dem Baby und der Hochzeit und der Stripperin (die direkte Verwandte der Nutte mit dem","goldenen Herzen","), ist per se nicht wirklich witzig und walzt auch eine Throw-Away-Gag in die Unendlichkeit. </s><s> Krankenhausszene und","Die ganze Nebenhandlung mit dem Baby und der Hochzeit und der Stripperin (die direkte Verwandte der Nutte mit dem goldenen Herzen ), ist per se nicht wirklich witzig und walzt auch eine Throw-Away-Gag in die Unendlichkeit.",".  Die ganze Nebenhandlung mit dem Baby und der Hochzeit und der Stripperin (die direkte Verwandte der Nutte mit dem goldenen Herzen ), ist per se nicht wirklich witzig und walzt auch eine Throw-Away-Gag in die Unendlichkeit.  Krankenhausszene und",3,3,-1,-1
"25","b20ge_463","b20ge","ge","b","intertextuality","bible","kuehnle-online.de",", er werde uns bestrafen, dass wir ihn nicht davon benachrichtigt haben. </s><s> Ich für mein Teil erkläre euch, ich wasche","meine Hände in Unschuld",", und wenn daraus ein Unglück entsteht, so ist es nicht meine Schuld. </s><s> "" </s> <gap/> <s> 1) Asrafyel oder Asrafil ist, zufolge den","Ich für mein Teil erkläre euch, ich wasche meine Hände in Unschuld , und wenn daraus ein Unglück entsteht, so ist es nicht meine Schuld.  """,", er werde uns bestrafen, dass wir ihn nicht davon benachrichtigt haben.  Ich für mein Teil erkläre euch, ich wasche meine Hände in Unschuld , und wenn daraus ein Unglück entsteht, so ist es nicht meine Schuld.  ""    1) Asrafyel oder Asrafil ist, zufolge den",3,3,0,-1
"26","c14ge_332","c14ge","ge","c","intertextuality","ancient_sources","boxmail.de","Rebell. </s><s> Er freut sich, weil er wieder eine Aufgabe hat und blüht sichtlich auf. </s><s> Die beiden Frauen raufen sich derweil","die Haare",", denn es hat ganz den Anschein, als gebe Rebell den Kleinen Tipps aus seinem reichen Erfahrungsschatz ''"" in Sachen","Die beiden Frauen raufen sich derweil die Haare , denn es hat ganz den Anschein, als gebe Rebell den Kleinen Tipps aus seinem reichen Erfahrungsschatz ''"" in Sachen","Rebell.  Er freut sich, weil er wieder eine Aufgabe hat und blüht sichtlich auf.  Die beiden Frauen raufen sich derweil die Haare , denn es hat ganz den Anschein, als gebe Rebell den Kleinen Tipps aus seinem reichen Erfahrungsschatz ''"" in Sachen",3,3,-1,0
"27","b03ge_894","b03ge","ge","b","intertextuality","bible","roypanther.de",", dass er beim Wettkampf bloß anwesend war; er muss vielmehr vorschriftsmäßig gekämpft haben. 6 Der Landmann, der","im Schweiße seines Angesichts","den Acker bebaut, hat das erste Anrecht auf die Früchte des Ackers. 7 Suche dir den Sinn meiner Worte selbst","6 Der Landmann, der im Schweiße seines Angesichts den Acker bebaut, hat das erste Anrecht auf die Früchte des Ackers.",", dass er beim Wettkampf bloß anwesend war; er muss vielmehr vorschriftsmäßig gekämpft haben. 6 Der Landmann, der im Schweiße seines Angesichts den Acker bebaut, hat das erste Anrecht auf die Früchte des Ackers. 7 Suche dir den Sinn meiner Worte selbst",4,3,0,-1
"28","s12ge_8739","s12ge","ge","s","natural_phenomena","human_body","jakobvicari.de",", sich auf den beschwerlichen Weg zu machen. </s><s> Damals gab es keine Fernrohre. </s><s> ''Der Stern von Bethlehem muss also","mit bloßem Auge","sichtbar gewesen sein'', sagt Kraupe. </s><s> Ereignisse am Himmel waren früher allerdings auch viel aufsehenerregender als","''Der Stern von Bethlehem muss also mit bloßem Auge sichtbar gewesen sein'', sagt Kraupe.",", sich auf den beschwerlichen Weg zu machen.  Damals gab es keine Fernrohre.  ''Der Stern von Bethlehem muss also mit bloßem Auge sichtbar gewesen sein'', sagt Kraupe.  Ereignisse am Himmel waren früher allerdings auch viel aufsehenerregender als",3,3,0,-1
"29","k10ge_725","k10ge","ge","k","culture","special_concepts_world","fluter.de",", denn der Billard-Profi liebäugelt mit dem Sieg bei einem mit 100.000 Euro dotierten Billard-Turnier. </s><s> Und","Ironie des Schicksals",": Es trifft ein Telegramm vom Tode seiner Mutter ein. </s><s> Alle kriegen ihr Fett ab </s><s> Nicht sehr verheißungsvoll für Jaeckie. </s>","Und Ironie des Schicksals : Es trifft ein Telegramm vom Tode seiner Mutter ein.",", denn der Billard-Profi liebäugelt mit dem Sieg bei einem mit 100.000 Euro dotierten Billard-Turnier.  Und Ironie des Schicksals : Es trifft ein Telegramm vom Tode seiner Mutter ein.  Alle kriegen ihr Fett ab  Nicht sehr verheißungsvoll für Jaeckie. ",4,3,-1,-1
"30","c14ge_448","c14ge","ge","c","intertextuality","ancient_sources","jetzt-weiss-ich.de","? </s><s> Wollen Sie endlich Kleidung tragen, die Ihren Körper betont, anstatt ihn zu verhüllen? </s> <s> Raufen Sie sich frustriert","die Haare",", weil Sie immer wieder scheitern, wenn Sie versuchen, ein paar Pfunde loszuwerden? </s><s> Dann [...] </s> <gap/> <gap/> <gap/>","Raufen Sie sich frustriert die Haare , weil Sie immer wieder scheitern, wenn Sie versuchen, ein paar Pfunde loszuwerden?","?  Wollen Sie endlich Kleidung tragen, die Ihren Körper betont, anstatt ihn zu verhüllen?   Raufen Sie sich frustriert die Haare , weil Sie immer wieder scheitern, wenn Sie versuchen, ein paar Pfunde loszuwerden?  Dann [...]    ",2,3,-1,-1
"31","c25geb_405","c25geb","ge","c","intertextuality","ancient_sources","britting.de","woraus der Mensch das Wilde, Bedrohende der Natur zu verbannen sucht, dieses Gegenspiel von Tiefe und Oberfläche, von","Nacht und Tag",", ist es sicherlich, was zu gestalten den Dichter verlockt hat. </s><s> Nächtlich ist der schöne Gesang: der dunkle, voll","woraus der Mensch das Wilde, Bedrohende der Natur zu verbannen sucht, dieses Gegenspiel von Tiefe und Oberfläche, von Nacht und Tag , ist es sicherlich, was zu gestalten den Dichter verlockt hat.","woraus der Mensch das Wilde, Bedrohende der Natur zu verbannen sucht, dieses Gegenspiel von Tiefe und Oberfläche, von Nacht und Tag , ist es sicherlich, was zu gestalten den Dichter verlockt hat.  Nächtlich ist der schöne Gesang: der dunkle, voll",5,4,0,0
"32","r18ge_2107","r18ge","ge","r","natural_phenomena","physical_reactions_sensations","top-technik-tipp.de","kann, dass hier ein bisschen zuviel Zuckerguss über die Geschichte geträufelt wurde. </s><s> Alles gut, alles perfekt ''","zu schön um wahr zu sein",". </s><s> Gleichzeitig wünscht man sich, dass es genauso öfter läuft. </s><s> Und regt so auf seine Weise hoffentlich zu guten Taten an. </s>","Alles gut, alles perfekt '' zu schön um wahr zu sein .","kann, dass hier ein bisschen zuviel Zuckerguss über die Geschichte geträufelt wurde.  Alles gut, alles perfekt '' zu schön um wahr zu sein .  Gleichzeitig wünscht man sich, dass es genauso öfter läuft.  Und regt so auf seine Weise hoffentlich zu guten Taten an. ",5,4,1,1
"33","i16ge_4162","i16ge","ge","i","culture","intellectual_technical_achievements","freigeist-forum-tuebingen.de","Privatsphäre gekoppelt mit noch mehr Ausgaben in Waffen und Pharmazeutika einhergeht. </s><s> Ja dann wäre es denkbar dass","grünes Licht","für die Türken gegeben wird und der Nahe Osten seine letzte Schlacht bekommt, wie es von den Apokalyptikern gewünscht","Ja dann wäre es denkbar dass grünes Licht für die Türken gegeben wird und der Nahe Osten seine letzte Schlacht bekommt, wie es von den Apokalyptikern gewünscht","Privatsphäre gekoppelt mit noch mehr Ausgaben in Waffen und Pharmazeutika einhergeht.  Ja dann wäre es denkbar dass grünes Licht für die Türken gegeben wird und der Nahe Osten seine letzte Schlacht bekommt, wie es von den Apokalyptikern gewünscht",3,4,-1,-1
"34","i05ge_2248","i05ge","ge","i","culture","intellectual_technical_achievements","kubaforen.de","gewinnen, ... wenn das mal kein Anreiz ist, </s><s> aber wie schon erwähnt, die langstreckler hier im Forum kann manN wohl","an einer Hand","abzählen und deswegen wird es wohl keine Trainings Gruppe hier im Forum geben, obwohl wenn der chefe ( Habanero )als","gewinnen, ... wenn das mal kein Anreiz ist,  aber wie schon erwähnt, die langstreckler hier im Forum kann manN wohl an einer Hand abzählen und deswegen wird es wohl keine Trainings Gruppe hier im Forum geben, obwohl wenn der chefe ( Habanero )als","gewinnen, ... wenn das mal kein Anreiz ist,  aber wie schon erwähnt, die langstreckler hier im Forum kann manN wohl an einer Hand abzählen und deswegen wird es wohl keine Trainings Gruppe hier im Forum geben, obwohl wenn der chefe ( Habanero )als",4,4,-1,-1
"35","i01ge_5195","i01ge","ge","i","culture","intellectual_technical_achievements","erdbeerlounge.de","eben ganz schnell :-) Aber ernsthaft jetzt, ruf deinen FA am Mittwoch an und lass dir einen Termin geben, dann hast du es","schwarz auf weiß","und dann kannst du mit deinem freund darüber reden! </s><s> Wie lange seit ihr denn zusammen? war das schonmal ein Thema bei euch","eben ganz schnell :-) Aber ernsthaft jetzt, ruf deinen FA am Mittwoch an und lass dir einen Termin geben, dann hast du es schwarz auf weiß und dann kannst du mit deinem freund darüber reden!","eben ganz schnell :-) Aber ernsthaft jetzt, ruf deinen FA am Mittwoch an und lass dir einen Termin geben, dann hast du es schwarz auf weiß und dann kannst du mit deinem freund darüber reden!  Wie lange seit ihr denn zusammen? war das schonmal ein Thema bei euch",4,4,1,1
"36","k04ge_3163","k04ge","ge","k","culture","special_concepts_world","biooekonomie.de","gut. </s><s> Forschungsausgaben und Gewinne stiegen im Jahr 2008, und das trotz globaler Rezession. </s><s> Doch der Teufel steckt","im Detail",". </s><s> Es florieren nämlich vor allem die Schwergewichte der Biotech-Branche, während es bei vielen der kleineren","Doch der Teufel steckt im Detail .","gut.  Forschungsausgaben und Gewinne stiegen im Jahr 2008, und das trotz globaler Rezession.  Doch der Teufel steckt im Detail .  Es florieren nämlich vor allem die Schwergewichte der Biotech-Branche, während es bei vielen der kleineren",3,4,-1,-1
"37","m21ge_481","m21ge","ge","m","culture","material_culture_money_living","fanfiktion.de","gegen eine Wand. </s><s> "" Ich würde das anders formulieren, denn das ist ja eigentlich ein Vergleich, also ""Er redete wie","gegen eine Wand",". </s><s> "" Sonst hat es mir gut gefallen :) LG, MagicLady </s> <gap/> <gap/> <s> Fritz schickt den Wurzeltroll in Urlaub </s> <gap/> <s> Hier","Ich würde das anders formulieren, denn das ist ja eigentlich ein Vergleich, also ""Er redete wie gegen eine Wand .  ""","gegen eine Wand.  "" Ich würde das anders formulieren, denn das ist ja eigentlich ein Vergleich, also ""Er redete wie gegen eine Wand .  "" Sonst hat es mir gut gefallen :) LG, MagicLady     Fritz schickt den Wurzeltroll in Urlaub    Hier",3,4,0,1
